,melid,bar,beat,target,prediction_no_melody,prediction_with_melody,notes,fold
4200,67,13,3,Bb7,G7,G7,"70,66",3
4201,67,14,1,Eb7,Ebmaj7,Eb6,69,3
4202,67,14,3,Ab7,Abmaj7,Ab7,"70,71,70,67,65",3
4203,67,15,1,C-7,G7,G7,"63,70,71,70",3
4204,67,15,3,F7,F7,F7,"66,65,63,60",3
4205,67,16,1,Bbmaj7,Bbmaj7,Bb6,"62,65",3
4206,67,17,1,D7,G7,G7,"71,68,64,60,71",3
4207,67,18,1,D7,G7,G-7,"69,68,67,66,72,76",3
4208,67,19,1,G7,G7,G7,"74,72,71,74,69,65,62,58",3
4209,67,20,1,G7,C-7,C7,"64,63,59,62,53",3
4210,67,21,1,C7,C7,C7,"60,62,64,65,67,69",3
4211,67,22,1,C7,F7,F7,"72,71,70,69,67,65,64,67,70",3
4212,67,23,1,F7,F7,F7,"74,73,72,71,67,63,60,70,67",3
4213,67,24,1,F7,Bb7,Bb,"69,80,78,76,77",3
4214,67,25,1,Bbmaj7,Bb7,Bb,74,3
4215,67,25,3,G7,G7,G7,,3
4216,67,26,1,C-7,C-7,C-7,,3
4217,67,26,3,F7,F7,F7,,3
4218,67,27,1,Bbmaj7,Bbmaj7,Bbmaj7,"64,65,67",3
4219,67,27,3,G7,G7,G7,"70,75,73,72",3
4220,67,28,1,C-7,C-7,C-7,"70,66,63,60",3
4221,67,28,3,F7,F7,F7,"62,58,55,57",3
4222,67,29,1,Bbmaj7,Bbmaj7,F-7,"60,59,58,57",3
4223,67,29,3,Bb7,G7,G7,"56,60,70,68",3
4224,67,30,1,Eb7,Eb7,Eb7,"67,65,63",3
4225,67,30,3,Ab7,Abmaj7,Ab7,"70,66,63,60",3
4226,67,31,1,C-7,G7,G7,"62,58",3
4227,67,31,3,F7,F7,F7,,3
4228,67,32,1,Bbmaj7,Bbmaj7,Bb6,,3
4229,67,33,1,Bbmaj7,G7,G7,76,3
4230,67,33,3,G7,G7,G7,"77,73",3
4231,67,34,1,C-7,C-7,C-7,"74,69,70",3
4232,67,34,3,F7,F7,F7,"74,70,65",3
4233,67,35,1,Bbmaj7,Bbmaj7,Bbmaj7,"69,72,69,71",3
4234,67,35,3,G7,G7,G7,"68,64,61,70",3
4235,67,36,1,C-7,C-7,C-7,"71,70,69,67",3
4236,67,36,3,F7,F7,F7,"65,63,62,60",3
4237,67,37,1,Bbmaj7,Bbmaj7,F-7,"58,56,53,56,60",3
4238,67,37,3,Bb7,G7,G7,"70,68,67,65",3
4239,67,38,1,Eb7,Ebmaj7,Eb6,"63,57,58",3
4240,67,38,3,Ab7,Abmaj7,Ab7,"61,58,55,57",3
4241,67,39,1,D-7,G7,D-7,"60,58",3
4242,67,39,3,G7,G7,G7,,3
4243,67,40,1,C-7,C-7,C-7,,3
4244,67,40,3,F7,F7,F7,58,3
4245,67,41,1,Bbmaj7,Bbmaj7,Bb,"57,58,60",3
4246,67,41,3,G7,G7,G7,"57,58,60,62",3
4247,67,42,1,C-7,C-7,C-7,"65,63,64",3
4248,67,42,3,F7,F7,F7,"67,64",3
4249,67,43,1,Bbmaj7,Bbmaj7,Bbmaj7,65,3
4250,67,43,3,G7,G7,G-7,,3
4251,67,44,1,C-7,C-7,C-7,"72,69,71,68,64",3
4252,67,44,3,F7,F7,F7,"61,69,67,65,63,62,60",3
4253,67,45,1,Bbmaj7,Bbmaj7,Bbmaj7,"58,60,63,66,65",3
4254,67,45,3,Bb7,G7,G7,"63,60",3
4255,67,46,1,Eb7,Ebmaj7,Eb7,"58,56,55",3
4256,67,46,3,Ab7,Abmaj7,Ab7,"70,66,63,60",3
4257,67,47,1,C-7,G7,G7,"62,58,55,57",3
4258,67,47,3,F7,F7,F7,"60,58,57,58",3
4259,67,48,1,Bbmaj7,Bbmaj7,Bb6,62,3
4260,67,49,1,D7,G7,G7,,3
4261,67,50,1,D7,G7,G-7,"74,73,72,71",3
4262,67,51,1,G7,G7,G7,"69,67,66,69,72,75,74,72",3
4263,67,52,1,G7,C-7,C7,"71,65,66,68,67,65",3
4264,67,53,1,C7,C7,C7,"64,60,58,55,62,58,55,57",3
4265,67,54,1,C7,F7,F7,"60,57,58,60,62,64,69,67,64,60",3
4266,67,55,1,F7,F7,F7,"65,65",3
4267,67,56,1,F7,Bb7,F7,,3
4268,67,57,1,Bbmaj7,Bb7,Bbmaj7,"65,67,68",3
4269,67,57,3,G7,G7,G7,"70,72,74,70",3
4270,67,58,1,C-7,C-7,C-7,"72,70,67,66",3
4271,67,58,3,F7,F7,F7,"72,73,74",3
4272,67,59,1,Bbmaj7,Bbmaj7,F-7,"65,67",3
4273,67,59,3,G7,G7,G7,"68,70,73,74,72",3
4274,67,60,1,C-7,C-7,C-7,"70,67",3
4275,67,60,3,F7,F7,F7,"69,65",3
4276,67,61,1,Bbmaj7,Bbmaj7,F-7,"72,71,70,69,68,72",3
4277,67,62,1,Eb7,G7,G7,"70,67",3
4278,67,62,3,Ab7,Eb7,Ab7,"70,66",3
4279,67,63,1,C-7,G7,D-7,"62,58,55,57",3
4280,67,63,3,F7,F7,F7,"60,58,57,60",3
4281,67,64,1,Bbmaj7,Bbmaj7,Bbmaj7,"62,63,65,60,62,65,62",3
4282,67,65,1,Bbmaj7,G7,G7,"60,58",3
4283,67,65,3,G7,G7,C-7,,3
4284,67,66,1,C-7,C-7,C-7,,3
4285,68,0,3,G7,G7,G7,"64,65,70,68,70,68,65",4
4286,68,1,1,C6,C-7,C-7,"67,64,74,73,72,67",4
4287,68,2,1,F-7,G-7,Eb7,"70,72,70,69,68",4
4288,68,2,3,Bb7,Bb7,Bb7,"65,63,60",4
4289,68,3,1,C7,Eb-7,Eb7,"67,69,67,65,64,57",4
4290,68,3,3,Bb7,F7,F-6,"58,62,65,67",4
4291,68,4,1,A7,Eb7,Eb-7,"64,62,64,67,70,72,70,69,67",4
4292,68,5,1,D7,D-7,Ab7,"66,62,60,62,60,57,64",4
4293,68,6,1,G7,G7,G-7,,4
4294,68,7,1,E-7,C7,C7,"67,64,65",4
4295,68,7,3,A7,A7,A7,"67,72,71,69",4
4296,68,8,1,D-7,D-7,D-7,"67,65,62,57",4
4297,68,8,3,G7,G7,G7,"62,64,67,62",4
4298,68,9,1,C6,C6,C-7,69,4
4299,68,10,1,F-7,G7,Eb7,"70,69,68,65",4
4300,68,10,3,Bb7,Bb7,Bb7,"63,60,67,65",4
4301,68,11,1,C7,Eb-7,Eb-7,"64,57,62",4
4302,68,11,3,Bb7,F7,F7,"65,67,64,62",4
4303,68,12,1,A7,F7,Eb-7,"61,64,58,56,57,65,64",4
4304,68,13,1,D7,D-7,Ab7,"62,57,59,60,62,60,62",4
4305,68,14,1,G7,G7,G-7,"59,57,53",4
4306,68,15,1,C6,C7,C7,"60,55",4
4307,68,16,1,F#m7b5,G7,Eb7,,4
4308,68,16,3,B7,F7,Eb7,,4
4309,68,17,1,E-7,D-7,Bb7,"59,61,63,64,66,67,69",4
4310,68,18,1,F#m7b5,A7,A7,"69,71",4
4311,68,18,3,B7,F7,D-7,"72,74,72",4
4312,68,19,1,E-7,D-7,D-7,"71,67,64,60,66,67,68,69,66",4
4313,68,20,1,A7,A7,A7,"67,64",4
4314,68,21,1,D-7,D-7,D-7,"55,57,61,62,64,65,67,69,68",4
4315,68,22,1,Em7b5,G7,G7,"70,69,67,65",4
4316,68,22,3,A7,A7,A7,"64,62,70,72",4
4317,68,23,1,D7,D-7,D-7,"71,69,67,66,64,57,64",4
4318,68,24,1,D-7,G7,Gmaj7,"62,57,60",4
4319,68,24,3,G7,G7,G7,"59,67,65,66",4
4320,68,25,1,C6,C6,Cmaj7,"67,74,72,67",4
4321,68,26,1,F-7,G7,F7,"70,69,68",4
4322,68,26,3,Bb7,Bb7,Bb7,"65,63,57",4
4323,68,27,1,C7,Eb-7,Ebmaj7,"67,66,58,62",4
4324,68,27,3,Bb7,F7,B7,"65,67,64,62",4
4325,68,28,1,A7,Eb-7,Ebmaj7,"61,64,67,69,71,69",4
4326,68,29,1,D7,D-7,D7,"71,64",4
4327,68,30,1,G7,G7,G-7,"72,72,72",4
4328,68,31,1,C6,C7,C-6,"70,72,70,67,69",4
4329,68,32,1,D-7,G7,Em7b5,"67,65,63,60",4
4330,68,32,3,G7,G7,G7,"62,60",4
4331,68,33,1,C6,C6,C-7,,4
4332,69,2,1,Db7,Gb7,Gb7,"80,77,80,77",3
4333,69,3,1,Db7,Gb7,Gb7,"80,77,80,77,80",3
4334,69,4,1,Db7,Gb7,Gb7,"77,73,70,71",3
4335,69,5,1,Bb7,Gb7,Gb7,"70,65,68",3
4336,69,6,1,Bb7,Eb7,Eb-7,"65,64,63,62,63",3
4337,69,7,1,Bb7,Eb7,Ab,"65,62,65,64",3
4338,69,8,1,Bb7,Eb7,Ab,"63,62,65",3
4339,69,9,1,Ab,Eb7,Ab,"63,60,63,68,72,71",3
4340,69,10,1,Ab,G7,F7,"71,72",3
4341,69,11,1,C7,G7,F7,"70,68,67,65,64,67",3
4342,69,12,1,F-,F7,F-7,"64,65,65",3
4343,69,13,1,Bb7,Bb7,F-maj7,"82,81,80,79,77,75",3
4344,69,14,1,Bb7,Eb,Ab,"74,72,70,69,68,70,67,68",3
4345,69,15,1,Eb7,Eb7,Ab,"70,68,67,65",3
4346,69,16,1,Ab7,Abmaj7,Ab7,"61,58,58",3
4347,69,17,1,Db7,G7,Db7,"80,80,80,80,80",3
4348,69,18,1,Db7,Gb7,Gb7,"81,82,80,80,80,80",3
4349,69,19,1,Db7,Gb7,C-7,"80,80,80,77",3
4350,69,20,1,Db7,Gb7,Bb-7,"73,71",3
4351,69,21,1,Bb7,Gb7,Bb-7,"80,80,77,77,75,75",3
4352,69,22,1,Bb7,A7,Eb-7,"74,74,72,72,70,70,69,69,68",3
4353,69,23,1,Bb7,Eb7,Eb7,"68,65,64,63,62,65",3
4354,69,24,1,Bb7,Eb7,Eb7,"63,62",3
4355,69,25,1,Ab,Eb7,Eb7,"63,68,72,75",3
4356,69,26,1,F7,G7,F7,"74,73,72",3
4357,69,27,1,Bb-,Bb7,Bb-7,70,3
4358,69,27,3,F7,Eb7,Eb7,"69,70,73,77",3
4359,69,28,1,Bb-,Bb7,Bb-7,65,3
4360,69,29,1,Bbm7b5,Eb7,Eb7,"80,79,77",3
4361,69,30,1,Eb7,Eb7,Eb7,"76,73,70,69,67,63,58",3
4362,69,31,1,Ab,Abmaj7,Abmaj7,"56,60,63,65,68,72,63,68",3
4363,69,33,1,Ab,G7,F7,,3
4364,70,1,3,Bb7,Bb7,Bb7,"67,65,67,68",1
4365,70,2,1,Ebmaj7,Ebmaj7,Ebmaj7,"70,70",1
4366,70,2,3,C-7,F-7,C7,"57,58,60",1
4367,70,3,1,Dm7b5,F-7,F-7,"62,63,62,61",1
4368,70,3,3,G7,G7,G7,"62,63",1
4369,70,4,1,C-7,C-7,C-7,"65,67,67",1
4370,70,5,1,Dm7b5,F7,Dm7b5,"67,68,72,75,79,80",1
4371,70,5,3,G7,G7,G7,"77,75,79,74",1
4372,70,6,1,C-7,C-7,C-7,"77,74,75,71,74,72,67,65,63,62,63,62,60,62,63,59",1
4373,70,7,1,D7,F7,Dbmaj7,"62,60,63,59,62",1
4374,70,7,3,Ab7,G7,G7,"60,63,65,62",1
4375,70,8,1,Gmaj7,G7,G7,"64,65,64,63,62",1
4376,70,9,1,Am7b5,G7,C7,"64,67",1
4377,70,9,3,D7,D7,D7,"66,69,72",1
4378,70,10,1,G7,G7,G7,"71,72,74,67,67,67,67,68,67,66,67,69,70",1
4379,70,11,1,G-7,C-7,C-7,,1
4380,70,11,3,C7,C7,C7,"72,73,64,64,65",1
4381,70,12,1,F-7,F-7,F-6,"67,68",1
4382,70,12,3,C7,Bb7,F-7,"65,67,68",1
4383,70,13,1,F-7,F-7,F-7,"70,67,63,60",1
4384,70,13,3,Bb7,Bb7,F-7,"69,70,66,66,63,58",1
4385,70,14,1,Db7,Ebmaj7,Ebmaj7,"57,58,62,65,64,62",1
4386,70,14,3,C7,C-7,C7,"63,67,70,74,72,74,72,67",1
4387,70,15,1,F-7,F-7,F-7,"69,70,68,67",1
4388,70,15,3,Bb7,Bb7,Bb7,"68,67,63,64,65,60",1
4389,70,16,1,Eb6,Ebmaj7,Am7b5,"63,62,58,62,61,60",1
4390,71,3,1,C-7,G7,F-7,"69,69,70,69,67,65,67",5
4391,71,4,1,F7,F7,Dbmaj7,"65,63,58,60,62,64,66,69,66,67,69",5
4392,71,7,1,Bb-7,Bbmaj7,Bbmaj7,"70,72,73,75,72,70",5
4393,71,8,1,Eb7,Eb7,Eb7,,5
4394,71,9,1,A-7,Abmaj7,Abmaj7,"69,71,72,74,76",5
4395,71,10,1,D7,D7,D7,"79,78,76,74",5
4396,71,11,1,B-7,G-7,Gmaj7,"74,75,74,73",5
4397,71,12,1,E-7,E7,E7,"73,74,71,67,66",5
4398,71,13,1,A7,A7,A-7,"64,66,63,64,66,67,69,66,67,69,70,71,74",5
4399,71,15,1,A-7,D-7,D-7,"72,64,67,71,69,67,64,60",5
4400,71,16,1,D7,D7,C-7,"59,59",5
4401,71,16,3,Db7,G-7,Gmaj7,"62,67",5
4402,71,17,1,Cmaj7,G-7,Cmaj7,"64,69,69,67,69,71,74",5
4403,71,19,1,C-7,A-7,E-7,"77,75,74,72",5
4404,71,20,1,F7,F7,F7,"70,67,65,63,62",5
4405,71,21,1,Gmaj7,Bbmaj7,Bb6,"64,66,62,63,64,64",5
4406,71,23,1,Bb-7,C-7,Bb-7,"65,63,58,62,61,60,63",5
4407,71,24,1,Eb7,Eb7,Eb7,"59,55,57,57",5
4408,71,25,1,A-7,Abmaj7,A-7,"55,67,64",5
4409,71,26,1,D7,D7,D7,"66,63,64,66,63",5
4410,71,27,1,B-7,Gmaj7,G,"64,66,67,68,69,71,69,67,64",5
4411,71,28,1,E-7,E7,E7,"69,66,68,69,70,71,74,76",5
4412,71,29,1,A7,A7,A-7,"78,79,76,74",5
4413,71,30,1,A-7,D-7,D-7,,5
4414,71,30,3,D7,D7,D7,"76,74,71,69",5
4415,71,31,1,G6,Gmaj7,D-7,"67,69,66,67",5
4416,71,32,1,D-7,G-7,A-7,"67,69,66,67",5
4417,71,32,3,G7,G7,G7,,5
4418,71,33,1,Cmaj7,C-7,C-7,"69,71,67,69,74,71,74,71,69,67",5
4419,71,35,1,C-7,A-7,E-7,"59,63,57,59",5
4420,71,36,1,F7,F7,F7,"60,63",5
4421,71,37,1,Gmaj7,Bbmaj7,Bb6,"64,66,62,64,69,69,69,66,64,62",5
4422,71,39,1,Bb-7,A-7,G6,"58,61,59,60,60,62,63,64",5
4423,71,40,1,Eb7,Eb7,Eb7,"66,63,64,66,67,69",5
4424,72,2,1,F#m7b5,G7,E-7,"71,67,69",6
4425,72,3,1,Cmaj7,F7,B7,"67,69,71,71,72,71,69",6
4426,72,4,1,F#-7,E-7,E-7,"68,71,69",6
4427,72,4,3,B7,B7,B7,64,6
4428,72,5,1,Em7b5,E-7,Bb7,"67,65,69,64",6
4429,72,6,1,A7,A7,A7,,6
4430,72,7,1,Em7b5,D-7,Dmaj7,"79,77,81",6
4431,72,8,1,A7,A7,A7,"79,76,73,77,74",6
4432,72,9,1,D-7,D-7,Dmaj7,"76,74,72,69,64",6
4433,72,10,1,G7,G7,G7,"62,64,57,60",6
4434,72,11,1,Cmaj7,Cmaj7,Cmaj7,"64,67,71,72,69",6
4435,72,12,1,F#m7b5,E-7,A-7,,6
4436,72,12,3,B7,B7,B7,,6
4437,72,13,1,E-7,E-7,E-7,"70,71,69,67,64,67",6
4438,72,14,1,A7,A7,A7,"69,71,67,69,71,69",6
4439,72,15,1,D7,D-7,D-7,"67,64,67,68,69,67,64,63",6
4440,72,16,1,D-7,G-7,D-7,"62,67,64",6
4441,72,16,3,G7,G7,G7,67,6
4442,72,17,1,Cmaj7,Cmaj7,Cmaj7,"71,67,64,59,57",6
4443,72,18,1,F#m7b5,A7,A-7,,6
4444,72,19,1,Cmaj7,F7,B7,"59,60,64,63,62,61",6
4445,72,20,1,F#m7b5,E-7,E-7,"60,63,67,69",6
4446,72,20,3,B7,F7,B7,"71,69",6
4447,72,21,1,Em7b5,E-7,E-7,"67,66,65,69,72",6
4448,72,22,1,A7,A7,A7,"69,64,67,69",6
4449,72,23,1,Em7b5,D-7,D-7,"64,67,64",6
4450,72,24,1,A7,A7,A7,"66,67,66,65,64,62",6
4451,72,25,1,D-7,D-7,D-7,"65,69,72",6
4452,72,26,1,G7,G7,G7,"76,79,76,74",6
4453,72,27,1,Cmaj7,Cmaj7,Cmaj7,79,6
4454,72,27,3,F7,A7,Ebmaj7,"74,71",6
4455,72,28,1,E7,E-7,Bb7,"74,77",6
4456,72,28,3,A-7,A7,A7,"76,74,72",6
4457,72,29,1,D-7,D7,D7,"71,72,67,64,62",6
4458,72,30,1,G7,G-7,G7,"71,72",6
4459,72,31,1,Cmaj7,Cmaj7,C6,"67,64,62,60,62",6
4460,72,32,1,D-7,A7,A-7,"63,65,67,68",6
4461,72,32,3,G7,G7,G7,"69,70,68,63,60,67",6
4462,73,1,3,E-7,C7,D-7,,1
4463,73,2,1,A-7,A7,A7,,1
4464,73,2,3,D7,D7,D-7,,1
4465,73,3,1,Gmaj7,G-7,Gmaj7,,1
4466,73,3,3,E-7,A-7,G6,"64,62",1
4467,73,4,1,A-7,A7,A7,"66,64,63,64",1
4468,73,4,3,D7,D7,D7,"66,67,69,70",1
4469,73,5,1,G6,Gmaj7,Gmaj7,"71,74,76,78",1
4470,73,5,3,E-7,G-7,Gmaj7,79,1
4471,73,6,1,A-7,A7,A7,"78,79,78",1
4472,73,6,3,D7,D7,D7,"76,75,74,67",1
4473,73,7,1,G6,Gmaj7,Gmaj7,"69,72,71,68",1
4474,73,7,3,E7,G-7,Gmaj7,71,1
4475,73,8,1,A-7,A-7,G6,,1
4476,73,8,3,D7,D7,D7,"70,73,74",1
4477,73,9,1,Bb6,Gmaj7,Gmaj7,"70,67",1
4478,73,9,3,G-7,A-7,D-7,"63,67,70",1
4479,73,10,1,C-7,C7,C7,"71,72,69,65",1
4480,73,10,3,F7,F7,F7,"62,65,69,69,70",1
4481,73,11,1,Bbmaj7,Bbmaj7,Bbmaj7,"67,63,60,62,64,65",1
4482,73,12,1,A7,A-7,G-7,"66,69,66,64,57",1
4483,73,13,1,Dmaj7,D-7,D7,,1
4484,73,14,1,B-7,D-7,A-7,"60,62,61,60,64",1
4485,73,15,1,A-7,E7,E7,"59,57,60,59,60,62,65,62",1
4486,73,16,1,D7,D7,D7,"63,67,70,74,77,75,66,69",1
4487,73,17,1,G6,Gmaj7,Gmaj7,"73,74,74",1
4488,73,17,3,E-7,G-7,Gmaj7,74,1
4489,73,18,1,A-7,A7,A7,"72,71",1
4490,73,18,3,D7,D7,D7,"72,71,69",1
4491,73,19,1,Gmaj7,Gmaj7,Gmaj7,"71,71",1
4492,73,19,3,E-7,A-7,A-7,71,1
4493,73,20,1,A-7,A7,A7,"69,67",1
4494,73,20,3,D7,D7,D7,"69,67,66,64",1
4495,73,21,1,G6,Gmaj7,Gmaj7,"66,62,64",1
4496,73,21,3,E-7,G-7,Gmaj7,"66,67",1
4497,73,22,1,A-7,A7,A7,"64,66",1
4498,73,22,3,D7,D7,D7,"69,66",1
4499,73,23,1,G6,Gmaj7,Gmaj7,"67,71",1
4500,73,23,3,E7,G-7,G-7,"76,74",1
4501,73,24,1,A-7,A-7,A-7,,1
4502,73,24,3,C7,D7,D7,79,1
4503,73,25,1,D-7,Fmaj7,Fmaj7,"77,72,76,74,80",1
4504,73,26,1,G7,G7,G7,"79,77,76,75",1
4505,73,27,1,Cmaj7,Cmaj7,G-7,"74,71,72,74,75,77",1
4506,73,28,1,C-7,A-7,A-7,"79,80,79,78,77,75",1
4507,73,28,3,F7,F7,F7,"74,72,71,69",1
4508,73,29,1,G6,Bbmaj7,Gmaj7,"68,71,74,77",1
4509,73,29,3,Bbdim,D-7,G-7,"77,76,71,72",1
4510,73,30,1,A-7,A-7,A-7,"73,74,78",1
4511,73,30,3,D7,D7,D7,"72,74",1
4512,73,31,1,G6,G,G,"79,72,74,79,73",1
4513,73,32,1,A-7,G-7,C7,"74,72,73",1
4514,73,32,3,D7,D7,D7,"74,72,70,67,67",1
4515,73,33,1,G6,Gmaj7,Gmaj7,,1
4516,74,3,1,Em7b5,Bb7,Em7b5,,1
4517,74,4,1,A7,A7,A7,"67,69,72,69,67",1
4518,74,5,1,D-7,D-7,D-7,"65,67,69,72,74,77,75,79",1
4519,74,7,1,C-7,G7,G7,"77,75,71,71,74",1
4520,74,8,1,F7,F7,F7,"73,74,73,69,72,71,72,74,65",1
4521,74,9,1,Bbmaj7,Bbmaj7,Bbmaj7,"65,75",1
4522,74,10,1,Eb7,G-7,Eb7,"73,65,68,72,70,72",1
4523,74,11,1,Fmaj7,Abmaj7,D7,"69,70,69,67,65,64,62,61,65",1
4524,74,12,1,D-7,Em7b5,D-7,"69,70,69,67,65,62",1
4525,74,13,1,G7,G7,G7,"62,62,62,64,65,69,69",1
4526,74,15,1,G-7,C7,C-7,"69,68,65,67",1
4527,74,16,1,C7,C7,C7,,1
4528,74,17,1,Fmaj7,Fmaj7,Fmaj7,"60,62,64,65,64,62,60,62,62,62,62",1
4529,74,19,1,Em7b5,G-7,Bb-7,"64,65,64,65,64,62,64",1
4530,74,20,1,A7,A7,A7,"61,64,67,69,70",1
4531,74,21,1,D-7,D-7,D-7,"69,70,69,60,62,69,68,67",1
4532,74,23,1,C-7,G7,G7,,1
4533,74,24,1,F7,F7,F7,"67,65,67,65",1
4534,74,25,1,Bbmaj7,Bbmaj7,Bbmaj7,"67,65,67,65,67,65",1
4535,74,26,1,Eb7,G-7,Eb7,"68,65,68,65,67",1
4536,74,27,1,Fmaj7,D-7,D7,"65,67,65,67,65,76",1
4537,74,28,1,Bm7b5,G-7,D-7,"74,76,74",1
4538,74,28,3,E7,E7,E7,79,1
4539,74,29,1,Fmaj7,A-7,A-7,"76,74",1
4540,74,29,3,Bb7,G-7,D-7,"72,74,76,77",1
4541,74,30,1,A-7,Eb7,A7,"76,77,76,74,73",1
4542,74,30,3,D7,D7,D7,"72,62,65,70",1
4543,74,31,1,G-7,G-7,G7,"67,68,69,67",1
4544,74,31,3,C7,C7,C7,"65,62",1
4545,74,32,1,Fmaj7,Fmaj7,Fmaj7,62,1
4546,74,32,3,C7,G-7,Ab7,"65,68,69,69,67,65,62,65,72,72,69",1
4547,75,3,1,Em7b5,Bb7,Fmaj7,"68,67,66,60,62,65",5
4548,75,4,1,A7,A7,A7,,5
4549,75,5,1,D-7,D-7,D-7,"67,63,65,67,68,67,65,67,68,67,65,63,62,60,61",5
4550,75,7,1,C-7,G7,G7,"68,72,75,72,71",5
4551,75,8,1,Bb7,F7,F7,"67,63",5
4552,75,9,1,Bbmaj7,C-7,Ebmaj7,"65,68,67,63,65,67,63",5
4553,75,10,1,Eb7,C-7,Eb-7,"65,66,63,65,65",5
4554,75,11,1,Fmaj7,Abmaj7,Abmaj7,"67,63,65,67,68,65,67",5
4555,75,12,1,D-7,F-7,D-7,"68,70,67,65,63,60",5
4556,75,13,1,G7,G7,G7,"62,60,62,60,62,60,62,60,63,60,63,60",5
4557,75,15,1,G-7,C-7,C7,"62,63,60,63,66,67",5
4558,75,16,1,C7,C7,C7,65,5
4559,75,17,1,Fmaj7,Fmaj7,Fmaj7,"70,72,70,67,65,63,70,72,70,67,65,63,67",5
4560,75,19,1,Em7b5,C-7,Em7b5,"67,68,67,61,62,65,62",5
4561,75,20,1,A7,A7,A7,"63,65,63,62,60,59,65,68",5
4562,75,21,1,D-7,D-7,D-7,"67,74,71,72,74,75,76,77,75,74,72,70,69,68,72",5
4563,75,23,1,C-7,G7,G7,"67,65,67,65",5
4564,75,24,1,F7,F7,F7,,5
4565,76,1,1,G-7,C7,F-7,"72,70,74,70,70,69,70,67,67,65,67,75",9
4566,76,5,1,C-7,C7,Bb-7,"75,77,79,77,75,74,72,74",9
4567,76,7,1,G-7,G-7,G-7,"72,72,70,72,70,70,70",9
4568,76,9,1,Eb7,C7,Bb-7,71,9
4569,76,10,1,D7,D7,D7,"70,70,67,65",9
4570,76,11,1,G-7,G-7,G-7,"67,67",9
4571,76,12,1,D7,Eb7,G-7,,9
4572,76,12,3,C-7,G-7,G-7,,9
4573,76,13,1,G-7,G-7,F7,"67,70,72,72,74,74,72,72,72,69,69,65,65,65,62",9
4574,76,17,1,C-7,Eb7,Am7b5,"63,65,67,63,62,60",9
4575,76,19,1,G-7,G-7,G-7,"58,60,62,58,55,57,55,57,58,60,62,65",9
4576,76,21,1,Eb7,C7,Bb-7,"63,65,66",9
4577,76,22,1,D7,D7,D7,"69,72,77",9
4578,76,23,1,G-7,G-7,G-7,"74,79,73,72",9
4579,76,24,1,D7,Eb7,Eb7,70,9
4580,76,25,1,G-7,G-7,G-7,"72,74,70,72,67,70,72,74,77,74,74,72,74",9
4581,76,29,1,C-7,C7,C-7,"75,77,74,75,72,74,70,72",9
4582,76,31,1,G-7,G-7,G-7,"69,67,67,65,67",9
4583,76,33,1,Eb7,Eb7,F-7,"68,70,72,75",9
4584,76,34,1,D7,D7,D7,"77,79,77",9
4585,76,35,1,G-7,G-7,G-7,"77,74,74",9
4586,76,36,1,D7,Eb7,Eb7,,9
4587,76,37,1,G-7,G-7,G-7,"81,77,74,70,74,77,81,77,74,75,74,73,74,77",9
4588,76,41,1,C-7,C7,C-7,"75,72,74,75,79,77,76,75,74,72,70,69",9
4589,76,43,1,G-7,G-7,G-7,"70,72,74,70,65,69,70,68,66,67,69,70,72,74,77",9
4590,76,45,1,Eb7,Eb7,Bb-7,"75,77,79",9
4591,76,46,1,D7,D7,D7,"78,75",9
4592,76,47,1,G-7,G-7,G-7,74,9
4593,76,48,1,D7,Eb7,Eb7,"73,72,70,72,70",9
4594,76,49,1,G-7,G-7,G-7,"72,70,67",9
4595,77,2,1,A7,C7,C7,"72,72,69",9
4596,77,2,3,D7,D7,D7,"72,74",9
4597,77,3,1,G-7,G-7,G-7,"67,67",9
4598,77,5,1,F-7,Eb7,G-7,"68,60,63,67",9
4599,77,6,1,Bb7,G-7,G-7,"65,63,62,65,68,72,70,68",9
4600,77,7,1,Ebmaj7,Eb7,Ebmaj7,"67,58,60",9
4601,77,9,1,Am7b5,D7,F-7,"57,58,60,63",9
4602,77,10,1,D7,D7,D7,"62,66,69",9
4603,77,11,1,Gbdim7,G-7,G-7,"67,70,74,72",9
4604,77,12,1,G-7,G-7,G-7,"77,77",9
4605,77,13,1,Em7b5,C7,F-7,"76,74,73,70,69,67",9
4606,77,14,1,A7,A7,A7,"65,63,64,67,70",9
4607,77,15,1,Am7b5,Eb7,D-7,"70,72,69,70",9
4608,77,16,1,D7,D7,D-7,"72,74,75,72,69,67,66,69",9
4609,77,17,1,G-7,G-7,Bm7b5,"75,75,74,72,70,72,74,70",9
4610,77,18,1,A7,G-7,C7,"69,67,66,63",9
4611,77,18,3,D7,D7,D-7,"62,64,60,58,57",9
4612,77,19,1,G-7,G-7,Bm7b5,"55,57,54,55,57,58,60,62,65,63,65,67,70",9
4613,77,21,1,F-7,Eb7,D-7,"74,75,72,68",9
4614,77,22,1,Bb7,Bb7,E-7,"65,68,75,74,70,72",9
4615,77,23,1,Ebmaj7,Ebmaj7,Ebmaj7,"67,70",9
4616,77,25,1,Em7b5,D7,F-7,,9
4617,77,25,3,A7,A7,A7,74,9
4618,77,26,1,Bbmaj7,D-7,D-7,81,9
4619,77,27,1,Am7b5,Eb7,A-7,,9
4620,77,27,3,D7,D7,D7,,9
4621,77,28,1,G-7,G-7,G-7,74,9
4622,77,28,3,Em7b5,G-7,G-7,"67,67",9
